Year,Assumption,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K)
1970,Historical,284400000,14500000,298800000,267500000,307500000
1971,Historical,301000000,15700000,316700000,298300000,313000000
1972,Historical,324900000,16500000,341400000,323900000,320100000
1973,Historical,369300000,16800000,386100000,374600000,313000000
1974,Historical,377300000,16900000,394200000,384900000,291500000
1975,Historical,377200000,16700000,393900000,402900000,258200000
1976,Historical,398300000,15000000,413300000,430900000,226600000
1977,Historical,411000000,13100000,424100000,451400000,185500000
1978,Historical,430500000,10900000,441400000,461100000,152500000
1979,Historical,447000000,9300000,456300000,462500000,130500000
1980,Historical,446100000,8900000,454900000,469500000,100500000
1981,Historical,483300000,7700000,491000000,497600000,84600000
1982,Historical,476400000,4500000,480900000,520600000,80600000
1983,Historical,514500000,26100000,540700000,540400000,78500000
1984,Historical,558700000,10500000,569200000,550300000,94800000
1985,Historical,591800000,8100000,599900000,561800000,124300000
1986,Historical,617800000,11200000,629000000,584600000,135900000
1987,Historical,632200000,14900000,647000000,585600000,192700000
1988,Historical,687500000,22000000,709500000,599200000,295600000
1989,Historical,711200000,32600000,743800000,607100000,418800000
1990,Historical,728300000,42100000,770400000,618200000,550200000
1991,Historical,722000000,51400000,773400000,643200000,658600000
1992,Historical,723200000,57800000,781000000,665400000,755600000
1993,Historical,726600000,61800000,788400000,684600000,838700000
1994,Historical,757400000,67300000,824700000,698900000,944300000
1995,Historical,766600000,73600000,840200000,714700000,1043300000
1996,Historical,788600000,79200000,867800000,722900000,1159100000
1997,Historical,827400000,87500000,914900000,737900000,1310400000
1998,Historical,867800000,97300000,965100000,754100000,1504200000
1999,Historical,909500000,107100000,1016500000,758500000,1729900000
2000,Historical,940000000,120300000,1060300000,774300000,1957500000
2001,Historical,960800000,132400000,1093100000,797000000,2201800000
2002,Historical,979200000,143900000,1123200000,826900000,2468000000
2003,Historical,958400000,148800000,1107200000,839500000,2682200000
2004,Historical,971200000,151900000,1123100000,856600000,2880400000
2005,Historical,1002100000,155500000,1157500000,874100000,3065800000
2006,Historical,1026900000,163700000,1190600000,887800000,3273800000
2007,Historical,1048300000,171200000,1219500000,923700000,3478100000
2008,Historical,1028500000,173600000,1202100000,933200000,3610500000
2009,Historical,1035700000,177900000,1213600000,1030700000,3817900000
2010,Historical,977100000,173000000,1150200000,1049100000,3841500000
2011,Historical,982100000,162600000,1144700000,1046600000,3807700000
2012,Historical,1018100000,152000000,1170100000,1094300000,3805100000
2013,Historical,1033400000,141300000,1174600000,1130600000,3797800000
2014,Historical,1063900000,132900000,1196800000,1162900000,3775500000
2015,Historical,1123800000,126800000,1250600000,1219300000,3822400000
2016,Historical,1169700000,118900000,1288700000,1241300000,3832800000
2017,Historical,1201200000,112200000,1313400000,1255300000,3811100000
2018,Historical,1182500000,107000000,1289500000,1285500000,3720400000
2019,Historical,1240100000,102200000,1342200000,1339100000,3662700000
2020,Historical,1301400000,95000000,1396500000,1382900000,3632400000
2021,Historical,1208200000,83200000,1291400000,1358100000,3384200000
2022,Historical,1264000000,72600000,1336600000,1360800000,3095900000
2023,Historical,1352800000,70500000,1423200000,1466900000,2938200000
2024,Historical,1381900000,70800000,1452700000,1521400000,2788600000
2025,Intermediate,1359200000,68200000,1427400000,1608900000,2540000000
2026,Intermediate,1415300000,64300000,1479700000,1659800000,2298100000
2027,Intermediate,1449500000,60500000,1510000000,1714600000,2039700000
2028,Intermediate,1483100000,55500000,1538600000,1763400000,1767100000
2029,Intermediate,1515400000,49200000,1564700000,1810100000,1480300000
2030,Intermediate,1545600000,42500000,1588100000,1855800000,1177900000
2031,Intermediate,1576500000,34700000,1611200000,1902600000,859000000
2032,Intermediate,1606700000,25800000,1632500000,1947400000,524000000
2033,Intermediate,1640300000,15400000,1655700000,1990500000,176900000
2025,Low-cost,1379400000,69700000,1449200000,1604600000,2566100000
2026,Low-cost,1475200000,69500000,1544700000,1646800000,2389300000
2027,Low-cost,1514800000,70600000,1585400000,1694500000,2210600000
2028,Low-cost,1563600000,71200000,1634800000,1738200000,2042900000
2029,Low-cost,1611200000,71400000,1682500000,1779500000,1886300000
2030,Low-cost,1658500000,71800000,1730300000,1819800000,1741900000
2031,Low-cost,1707300000,72200000,1779500000,1860800000,1609900000
2032,Low-cost,1755300000,72200000,1827500000,1900400000,1490100000
2033,Low-cost,1807300000,71900000,1879200000,1938600000,1387200000
2034,Low-cost,1855400000,70300000,1925700000,1975800000,1296800000
2035,Low-cost,1897300000,67200000,1964600000,2014600000,1208900000
2036,Low-cost,1938300000,64000000,2002300000,2053800000,1122200000
2037,Low-cost,1979300000,59800000,2039100000,2093600000,1035000000
2038,Low-cost,2021300000,55400000,2076700000,2133400000,948200000
2039,Low-cost,2063500000,51100000,2114600000,2172900000,862300000
2040,Low-cost,2106200000,46700000,2153000000,2212100000,778100000
2041,Low-cost,2149600000,42500000,2192000000,2251300000,696100000
2042,Low-cost,2193900000,38300000,2232300000,2291000000,617100000
2043,Low-cost,2239300000,34300000,2273600000,2332000000,540700000
2044,Low-cost,2286100000,30500000,2316600000,2375300000,466300000
2045,Low-cost,2333900000,26700000,2360700000,2418400000,394900000
2046,Low-cost,2382900000,23100000,2406000000,2462900000,326500000
2047,Low-cost,2433900000,19600000,2453500000,2510500000,260000000
2048,Low-cost,2486300000,16200000,2502500000,2560700000,194100000
2049,Low-cost,2540200000,12700000,2552800000,2613500000,127800000
2050,Low-cost,2596000000,9000000,2605000000,2668700000,60400000
2025,High-cost,1324600000,67300000,1391900000,1613400000,2500000000
2026,High-cost,1321800000,59900000,1381700000,1675800000,2160500000
2027,High-cost,1368600000,51900000,1420500000,1735000000,1807800000
2028,High-cost,1397800000,43100000,1440800000,1789300000,1427500000
2029,High-cost,1423400000,33600000,1456900000,1841700000,1017400000
2030,High-cost,1443500000,23500000,1467100000,1893700000,572800000
2031,High-cost,1462000000,11100000,1473000000,1946900000,88800000
